
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:7070              [::]:0                 LISTENING       4244
  TCP    [::]:7680              [::]:0                 LISTENING       3668
  TCP    [::]:49664             [::]:0                 LISTENING       796
  TCP    [::]:49665             [::]:0                 LISTENING       924
  TCP    [::]:49666             [::]:0                 LISTENING       2312
  TCP    [::]:49667             [::]:0                 LISTENING       1900
  TCP    [::]:49668             [::]:0                 LISTENING       2476
  TCP    [::]:49669             [::]:0                 LISTENING       4216
  TCP    [::]:49670             [::]:0                 LISTENING       724
  TCP    [::1]:42050            [::]:0                 LISTENING       6596
  UDP    0.0.0.0:53             *:*                                    3192
  UDP    0.0.0.0:123            *:*                                    8252
  UDP    0.0.0.0:3389           *:*                                    1328
  UDP    0.0.0.0:5050           *:*                                    7128
  UDP    0.0.0.0:5353           *:*                                    21820
  UDP    0.0.0.0:5353           *:*                                    6548
  UDP    0.0.0.0:5353           *:*                                    7272
  UDP    0.0.0.0:5353           *:*                                    6548
  UDP    0.0.0.0:5353           *:*                                    1708
  UDP    0.0.0.0:5353           *:*                                    6548
  UDP    0.0.0.0:5353           *:*                                    7272
  UDP    0.0.0.0:5353           *:*                                    21820
  UDP    0.0.0.0:5353           *:*                                    7272
  UDP    0.0.0.0:5353           *:*                                    21820
  UDP    0.0.0.0:5353           *:*                                    21820
  UDP    0.0.0.0:5353           *:*                                    7272
  UDP    0.0.0.0:5353           *:*                                    6548
  UDP    0.0.0.0:5355           *:*                                    1708
  UDP    0.0.0.0:49665          *:*                                    4272
  UDP    0.0.0.0:49667          *:*                                    4508
  UDP    0.0.0.0:50001          *:*                                    4244
  UDP    0.0.0.0:50145          142.250.67.163:443                     12828
  UDP    0.0.0.0:54325          184.26.54.186:443                      10332
  UDP    0.0.0.0:54684          142.251.151.119:443                    10840
  UDP    0.0.0.0:54887          *:*                                    3192
  UDP    0.0.0.0:54888          *:*                                    3192
  UDP    0.0.0.0:58502          23.223.245.55:443                      10332
  UDP    0.0.0.0:58679          142.250.205.206:443                    12828
